payee,mn_count,power
3grE1mBHq3b6apNZBPLsfEyfwStFCbQPn9,142,5.207187385
3WsEKBsDjbwuzZQ2QUca2psfuWT3gQsc6n,140,5.133846718
3aYmDhweXKKNxaJBP6AK1e7ZbtvGK8FJZ1,100,3.66703337
3nNnA3qjZYQEgkVvpTnsqYRcqJqxEoXfuq,100,3.66703337
3mVD7MZhHLzxjByT8Z7ixqPiKRUABNx13U,100,3.66703337
3Uv2fLjT5rXRr3UnY8AWMNar8R1sc5jXEF,98,3.593692703
3X8A95MPPUsd3BfsJGyZAFLtN9KRFf18mp,96,3.520352035
3meUwiqbAQfJFxRPM4eGX61qoq6RPa2nF3,83,3.043637697
3msJJphTFTfxSZRsg9wKW2VzqrhAAuTBjY,74,2.713604694
3c1CvB3QR2XjFQ5e26zqa6vgq3eJb3DNU2,66,2.420242024
3XLciwdFFLsb6ihvigLwmoJpkdrZ3hs7mc,53,1.943527686
3gvQfLZ2KdqjU6VDWXpz5xqN4c8qWGCmjG,53,1.943527686
3Y3UrSuPXKjre8tqRGsa4CURAnAkadcj1g,52,1.906857352
3VT88aJ9fLCpNeUM1xtjB6HteZFqmDGa41,51,1.870187019
3YfMw37QYjew3Nu6sa9KSwRhbsoMxChiD7,47,1.723505684
3XNzjFiHyrs7dZfTQM8eJu99Afjq5BbQH6,40,1.466813348
3ZEi9zYxz4S7wnAhVM91163SPj5tpzswJe,33,1.210121012
3RzHmFZptT3nYLA6gQuusFfCtGcMRGMSsW,33,1.210121012
3ShEWjCiFVmh52t4oN4gXyThtZQuc3zu3K,30,1.100110011
3fp4wNQJ67nupfEUVZjoxYqS4yXdhBaydE,30,1.100110011
3XkW7SidjQsS4o6Z5nGAEWXrDszbgprmVQ,28,1.026769344
3RfUirVf91h6qG8ojCKpnT9VkLXN6wghXB,27,0.99009901
3TQhKzvE6hSqDBxuZD5CkR2KuqSx9NNjts,27,0.99009901
3ciNK6tNQ2i4m3Kav1pMN2ZLpWMWaSD8XT,26,0.953428676
3VhRhS3tPfkJSVXBozBBcDpP7w583TmpKq,23,0.843417675
3VWhjwQQhW4u6fqAj5JWHKvhmFYXHofs8K,21,0.770077008
3o5CR5LY6Mq2qPPzzn14p7VWyAeaAwdQuN,20,0.733406674
3TY4SsDJpvWaDvg3mJK8NFBToPkiF9B3nt,19,0.69673634
3kAqVRnqP3gj7qpZWv729NPR39VCe1Ymht,18,0.660066007
3XmjrscLeGgGk5TkFBYrSQXEScEWMG4GuG,16,0.586725339
3ZEdvC4aYeo5MJ9SHK6ab3jUPQzYAeyNqw,15,0.550055006
3Tkq7478aujXRNKaeU5xPM9QBeCGBc1Anm,15,0.550055006
3kTT2rjNov9xRXqhnDBXapvv3euFEpdAmN,14,0.513384672
3XHcmH5wcqj2pPUfKDH8snPvfRkpxwgdyk,13,0.476714338
3Z35aN2RAGngvthgVE2zwv4n42fFXq6aie,13,0.476714338
3T5xVubzqYsxc8ZX8WZbiLLQMCXRnu5P2r,13,0.476714338
3XnqRBrsSX78UWa1QioJ4vcVeoAUGTKaS9,12,0.440044004
3ahdRqVjFnuDwCnWnfR5epLdAouTXbMqzK,11,0.403373671
3pADurfuSFf7P2pBFDkNnybpCFyY35HMTA,11,0.403373671
3Sb2gXwy7ZtbQ88gajhCnJqvxX4MzFovgK,11,0.403373671
3ctgeXDcKqgxyJdRcQCg2mvmqqyhpkA3mP,10,0.366703337
3TzH54713xRHqPQ3Nr88X1w3iXvFCDdgEd,10,0.366703337
3gJT9TfwjoV9EwLd2Snm5oGXJdeBWzM62R,10,0.366703337
3jMiwsF9XW3Y6QMV56LEdLSWcW5tQuVRnM,10,0.366703337
3ZurCPGauEnWEjZjvfobuEcTbmwZqkgz4e,10,0.366703337
3TLm6YBTAYu9WfMHnyPg5EoKaJPRYrmTMs,10,0.366703337
3ZDaTY7vEm7xg8DnDfWyJgt5ZhEPcxpF9h,8,0.29336267
3fTxgwEdPjH3BrtwxRMuGZkc85w1twxAio,8,0.29336267
3kU7d6PRemFnHVjyb7EZtaYtkCHnTPt2fZ,8,0.29336267
3p8hs8rohgK35RXGsZimjs1CoDVcPWHAy8,8,0.29336267
3f9gKMUw1hrLZiAdGCbaonYQpQHPRkim3c,8,0.29336267
3iVabYqqb5seSVsN3F5Rt9TX2CpBQANT1W,8,0.29336267
3ZrVPG7BwqX8rjTB2UyTsubqpcaMYUJFGA,7,0.256692336
3jmBVorzcdC6kHiLEhav4mbfeGbA6vDzRP,7,0.256692336
3Yp3gQ3yUriJe2jirC15g13U976No8pH95,7,0.256692336
3kG23HZa3DzCsy5cUJcmZfWRapH7JoothE,7,0.256692336
3equHARx74kfjjcZd6VMHgEEUm6Q5BeMNY,6,0.220022002
3VfLntZuaAQbEBccQjUZ5RahzMvKqexJHy,6,0.220022002
3XS4kjn4qtaFrJd7e5nTofyWEzdjuPSh3b,6,0.220022002
3aFRkRdZiKn8pJjqjzJs6XRwJAuMJZBki4,6,0.220022002
3RfNWP3JWPYBoZXNGdBD9cvsEe8VmQvvWa,6,0.220022002
3nm9Eo9kVMLo9s8FTKMN6CY6rQgp2umPL7,5,0.183351669
3UJCcTVZeAuPXGg9ZjCS8HhftkqioJRCaC,5,0.183351669
3ZrZogxcTo3SDWXQ5gnAidS2TT1CKrQDJh,5,0.183351669
3UNBuyezfgBxb15QXdHnEz2WgQupc2ihxv,5,0.183351669
3dpJhSsoX5ENAy3aTWmXYzH5tiRAhxrwmx,5,0.183351669
3et41cVDwLWorDJDz5ZBpe9RwQRqzgrxt1,5,0.183351669
3namsoofhWSrWvqjEbJ8CyRzBSpdprzWie,5,0.183351669
3maA4PmQWP4nNo1hERgMK2aAUHusXaFQWB,5,0.183351669
3jSgt2jDN24JKm6wKjFGKGQM9UvbbQxum1,5,0.183351669
3XMXz1wBw9P6SwMzuqEhUPjXFXrmiMMwv4,5,0.183351669
3eA5JzisnwZomgMhpNtYCBCjec2E2ekSgL,5,0.183351669
3TQMXf6jJLroe7cZWsx8vATUmKURchiZxt,5,0.183351669
